,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
65,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S72,erro
66,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S73,erro,erro,erro,erro,erro,erro,erro,erro
67,,,,,,,,,,,,,,,,,,,,erro,erro,R6,erro,erro,erro,R6,R6,R6,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
68,,,,,74,,,,,,,,,,,,,,,erro,erro,erro,erro,S50,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
69,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,R19,erro,erro,erro,erro,R19,R19,erro,erro,erro,erro,R19,erro,erro,erro,erro,R19,R19,R19,R19,erro,erro
70,,,,,,,,,,,,75,,,,,,,,erro,erro,erro,erro,S55,erro,erro,erro,erro,erro,erro,erro,S56,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
71,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,S76,erro,erro,erro,erro,erro,erro,erro
72,,,,,,,,,,,,77,,,,,,,,erro,erro,erro,erro,S55,erro,erro,erro,erro,erro,erro,erro,S56,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
73,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,R34,erro,erro,erro,erro,R34,R34,erro,erro,erro,erro,R34,erro,erro,erro,erro,erro,erro,R34,erro,erro,erro
74,,,,,,,,,,,,,,,,,,,,erro,erro,erro,R7,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
75,,,,,,,,,,,,,,,,,,,,erro,erro,erro,R20,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro
76,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,R26,erro,erro,erro,erro,R26,R26,erro,erro,erro,erro,R26,erro,erro,erro,erro,R26,erro,erro,erro,erro,erro
77,,,,,,,,,,,,,,,,,,,,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,erro,R27,erro,erro,erro,erro,erro,erro,erro,erro
