,P,V,LV,D,L,TIPO,A,ES,ARG,CMD,LD,OPRD,COND,CAB,EXP_R,CP,R,CABR,CPR,inicio,varinicio,varfim,PT_V,ID,VIR,inteiro,real,literal,leia,escreva,LIT,NUM,RCB,OPM,se,AB_P,FC_P,entao,por,fimse,repita,fimrepita,fim,OPR,EOF
51,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R13,e1,e1,e1,e1,R13,R13,e1,e1,e1,e1,R13,e1,e1,e1,e1,R13,R13,R13,R13,e1,e1
52,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R14,e1,e1,e1,e1,R14,R14,e1,e1,e1,e1,R14,e1,e1,e1,e1,R14,R14,R14,R14,e1,e1
53,,,,,,,,,,,,,,,,,,,,et3,et3,et3,S69,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3,et3
54,,,,,,,,,,,,,,,,,,,,et6,et6,et6,R21,et6,et6,et6,et6,et6,et6,et6,et6,et6,et6,S70,et6,et6,et6,et6,et6,et6,et6,et6,et6,et6,et6
55,,,,,,,,,,,,,,,,,,,,et11/e1,et11/e1,et3/e1,R22,et9,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,R22,et3/e1,et3/e1,R22,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,R22,et3/e1
56,,,,,,,,,,,,,,,,,,,,et11/e1,et11/e1,et3/e1,R23,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et9,et3/e1,R23,et3/e1,et3/e1,R23,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,et3/e1,R23,et3/e1
57,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,e1,e1,e1,e1,e1,R28,R28,e1,e1,e1,e1,R28,e1,e1,e1,e1,R28,e1,e1,e1,e1,e1
58,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,e1,e1,e1,e1,e1,R29,R29,e1,e1,e1,e1,R29,e1,e1,e1,e1,R29,e1,e1,e1,e1,
59,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R30,e1,e1,e1,e1,R30,R30,e1,e1,e1,e1,R30,e1,e1,e1,e1,R30,e1,e1,e1,e1,
61,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R35,e1,e1,e1,e1,R35,R35,e1,e1,e1,e1,R35,e1,e1,e1,e1,e1,R35,e1,R35,e1,
62,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R36,e1,e1,e1,e1,R36,R36,e1,e1,e1,e1,R36,e1,e1,e1,e1,e1,R36,e1,R36,e1,
63,,,,,,,,,,,,,,,,,,,,e1,e1,e1,e1,R37,e1,e1,e1,e1,R37,R37,e1,e1,e1,e1,R37,e1,e1,e1,e1,e1,R37,e1,R37,e1,
64,,,,,,,,,,,,,,,,,,,,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,S71,et9,et9,et9,et9,et9,et9,et9,et9
65,,,,,,,,,,,,,,,,,,,,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,et11,S72,et11
66,,,,,,,,,,,,,,,,,,,,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,et9,S73,et9,et9,et9,et9,et9,et9,et9,et9
67,,,,,,,,,,,,,,,,,,,,e1/et19,e1/et19,R6,e1/et19,e1/et19,e1/et19,R6,R6,R6,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19,e1/et19
